TemplateStr,TemplateTokens,ParameterClasses,ExampleLog,Dataset
Saw change in network reachability (isReachable=<*>),"['Saw', 'change', 'in', 'network', 'reachability', '(', 'isReachable', '=', '<*>', ')']",{8: 'Other::ClosedSet'},Saw change in network reachability (isReachable=2),mac
[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Host (0x01),"['[', 'HID', ']', '[', 'ATC', ']', 'AppleDeviceManagementHIDEventService', ':', ':', 'processWakeReason', 'Wake', 'reason', ':', 'Host', '(', '0x01', ')']",{},[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Host (0x01),mac
dnssd_clientstub ConnectToServer: connect()-> No of tries: 1,"['dnssd_clientstub', 'ConnectToServer', ':', 'connect', '(', ')', '-', '>', 'No', 'of', 'tries', ':', '1']",{},dnssd_clientstub ConnectToServer: connect()-> No of tries: 1,mac
-[NETClientConnection effectiveBundleID] using process name <*> as bundle ID (this is expected for daemons without bundle ID,"['-', '[', 'NETClientConnection', 'effectiveBundleID', ']', 'using', 'process', 'name', '<*>', 'as', 'bundle', 'ID', '(', 'this', 'is', 'expected', 'for', 'daemons', 'without', 'bundle', 'ID']",{8: 'Object::Process'},-[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID,mac
"RTC: Maintenance <*> <*>:<*>:<*>, sleep <*> <*>:<*>:<*>","['RTC', ':', 'Maintenance', '<*>', '<*>', ':', '<*>', ':', '<*>', ',', 'sleep', '<*>', '<*>', ':', '<*>', ':', '<*>']","{3: 'Time::Timestamp', 4: 'Time::Timestamp', 6: 'Time::Timestamp', 8: 'Time::Timestamp', 11: 'Time::Timestamp', 12: 'Time::Timestamp', 14: 'Time::Timestamp', 16: 'Time::Timestamp'}","RTC: Maintenance 2017/7/1 19:52:56, sleep 2017/7/1 19:40:18",mac
RTC: PowerByCalendarDate setting ignored,"['RTC', ':', 'PowerByCalendarDate', 'setting', 'ignored']",{},RTC: PowerByCalendarDate setting ignored,mac
dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,"['dnssd_clientstub', 'ConnectToServer', ':', 'connect', '(', ')', '-', '>', 'No', 'of', 'tries', ':', '<*>']",{12: 'Object::ValueExpression'},dnssd_clientstub ConnectToServer: connect()-> No of tries: 2,mac
<*>: 802.11d country code set to '<*>'.,"['<*>', ':', '802.11d', 'country', 'code', 'set', 'to', ""'"", '<*>', ""'"", '.']","{0: 'Object::ComputingResource', 8: 'Other::ClosedSet'}",en0: 802.11d country code set to 'X3'.,mac
"ARPT: <*>: <*>: setup_keepalive: Seq: <*>, Ack: <*>, Win size: <*>","['ARPT', ':', '<*>', ':', '<*>', ':', 'setup_keepalive', ':', 'Seq', ':', '<*>', ',', 'Ack', ':', '<*>', ',', 'Win', 'size', ':', '<*>']","{2: 'Object::ValueExpression', 4: 'Object::ComputingResource'}","ARPT: 627305.613279: wl0: setup_keepalive: Seq: 1664112163, Ack: 818851215, Win size: 4096",mac
<*>(<*>) deny <*> <*>,"['<*>', '(', '<*>', ')', 'deny', '<*>', '<*>']",{},QQ(10018) deny mach-lookup com.apple.networking.captivenetworksupport,mac
[HID] [MT] AppleMultitouchDevice::<*> <*>,"['[', 'HID', ']', '[', 'MT', ']', 'AppleMultitouchDevice', ':', ':', '<*>', '<*>']","{9: 'StatusMessage', 10: 'StatusMessage'}",[HID] [MT] AppleMultitouchDevice::willTerminate entered,mac
[BluetoothHIDDeviceController] <*>,"['[', 'BluetoothHIDDeviceController', ']', '<*>']",{},[BluetoothHIDDeviceController] EventServiceDisconnectedCallback,mac
PMStats: Hibernate read took <*> <*>,"['PMStats', ':', 'Hibernate', 'read', 'took', '<*>', '<*>']","{5: 'Time::Timestamp', 6: 'Time::Timestamp'}",PMStats: Hibernate read took 197 ms,mac
dnssd_clientstub ConnectToServer: connect() failed path:<*> Socket:<*> Err:<*> Errno:<*> Operation not permitted,"['dnssd_clientstub', 'ConnectToServer', ':', 'connect', '(', ')', 'failed', 'path', ':', '<*>', 'Socket', ':', '<*>', 'Err', ':', '<*>', 'Errno', ':', '<*>', 'Operation', 'not', 'permitted']","{9: 'Location::Path', 15: 'Other::ClosedSet', 18: 'Other::ClosedSet'}",dnssd_clientstub ConnectToServer: connect() failed path:/var/run/mDNSResponder Socket:4 Err:-1 Errno:1 Operation not permitted,mac
"pages <*>, wire <*>, act <*>, inact <*>, cleaned <*> spec <*>, zf <*>, throt <*>, compr <*>, xpmapped <*>","['pages', '<*>', ',', 'wire', '<*>', ',', 'act', '<*>', ',', 'inact', '<*>', ',', 'cleaned', '<*>', 'spec', '<*>', ',', 'zf', '<*>', ',', 'throt', '<*>', ',', 'compr', '<*>', ',', 'xpmapped', '<*>']",{},"pages 1471315, wire 491253, act 449877, inact 3, cleaned 0 spec 5, zf 23, throt 0, compr 345876, xpmapped 40000",mac
"VDCAssistant:  Found a camera (<*>) , but was not able to start it up (<*> -- (os/kern) successful)","['VDCAssistant', ':', 'Found', 'a', 'camera', '(', '<*>', ')', ',', 'but', 'was', 'not', 'able', 'to', 'start', 'it', 'up', '(', '<*>', '--', '(', 'os/kern', ')', 'successful', ')']","{6: 'Object::ValueExpression', 18: 'StatusMessage'}","VDCAssistant:  Found a camera (0x1430000005ac8290) , but was not able to start it up (0x0 -- (os/kern) successful)",mac
handle_will_sleep_auth_and_shield_windows: Reordering authw <*>(<*>) (lock state: <*>),"['handle_will_sleep_auth_and_shield_windows', ':', 'Reordering', 'authw', '<*>', '(', '<*>', ')', '(', 'lock', 'state', ':', '<*>', ')']","{12: 'Other::ClosedSet', 4: 'Object::ValueExpression', 6: 'Object::ValueExpression'}",handle_will_sleep_auth_and_shield_windows: Reordering authw 0x7fa823a04400(2004) (lock state: 3),mac
"<*> <*>:<*>:<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSAgentApp(KeystoneThread) runKeystonesInThreadWithArg:] Checking with local engine: <KSUpdateEngine:<*> ticketStore=<KSPersistentTicketStore:<*> store=<KSKeyedPersistentStore:<*> path=""<*>"" lockFile=<KSLockFile:<*> path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore.lock"" locked=<*> > >> processor=<KSActionProcessor:<*> delegate=<KSUpdateEngine:<*>> isProcessing=<*> actionsCompleted=<*> progress=<*> errors=<*> currentActionErrors=<*> events=<*> currentActionEvents=<*> actionQueue=( ) > delegate=(<*>) serverInfoStore=<KSServerPrivateInfoStore:<*> path=""<*>""> errors=<*> >","['<*>', '<*>', ':', '<*>', ':', '<*>', 'GoogleSoftwareUpdateAgent', '[', '<*>', ']', '[', 'lvl', '=', '<*>', ']', '-', '[', 'KSAgentApp', '(', 'KeystoneThread', ')', 'runKeystonesInThreadWithArg', ':', ']', 'Checking', 'with', 'local', 'engine', ':', '<', 'KSUpdateEngine', ':', '<*>', 'ticketStore', '=', '<', 'KSPersistentTicketStore', ':', '<*>', 'store', '=', '<', 'KSKeyedPersistentStore', ':', '<*>', 'path', '=', '""', '<*>', '""', 'lockFile', '=', '<', 'KSLockFile', ':', '<*>', 'path', '=', '""', '/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore.lock', '""', 'locked', '=', '<*>', '>', '>', '>', 'processor', '=', '<', 'KSActionProcessor', ':', '<*>', 'delegate', '=', '<', 'KSUpdateEngine', ':', '<*>', '>', 'isProcessing', '=', '<*>', 'actionsCompleted', '=', '<*>', 'progress', '=', '<*>', 'errors', '=', '<*>', 'currentActionErrors', '=', '<*>', 'events', '=', '<*>', 'currentActionEvents', '=', '<*>', 'actionQueue', '=', '(', ')', '>', 'delegate', '=', '(', '<*>', ')', 'serverInfoStore', '=', '<', 'KSServerPrivateInfoStore', ':', '<*>', 'path', '=', '""', '<*>', '""', '>', 'errors', '=', '<*>', '>']","{0: 'Time::Timestamp', 1: 'Time::Timestamp', 3: 'Time::Timestamp', 5: 'Time::Timestamp', 8: 'Object::ValueExpression', 13: 'Other::ClosedSet', 48: 'Location::Path', 63: 'Other::ClosedSet', 82: 'Other::ClosedSet', 120: 'Location::Path'}","2017-07-01 19:46:26.133 GoogleSoftwareUpdateAgent[31702/0x7000002a0000] [lvl=2] -[KSAgentApp(KeystoneThread) runKeystonesInThreadWithArg:] Checking with local engine: <KSUpdateEngine:0x100259c60 ticketStore=<KSPersistentTicketStore:0x100253770 store=<KSKeyedPersistentStore:0x100254d10 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore"" lockFile=<KSLockFile:0x100254d80 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore.lock"" locked=NO > >> processor=<KSActionProcessor:0x100259e70 delegate=<KSUpdateEngine:0x100259c60> isProcessing=NO actionsCompleted=0 progress=0.00 errors=0 currentActionErrors=0 events=0 currentActionEvents=0 actionQueue=( ) > delegate=(null) serverInfoStore=<KSServerPrivateInfoStore:0x1002594d0 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/Servers""> errors=0 >",mac
-[ISGenerateImageOp generateImageWithCompletion:] Failed to composit image for descriptor <ISBindingImageDescriptor: <*>>.,"['-', '[', 'ISGenerateImageOp', 'generateImageWithCompletion', ':', ']', 'Failed', 'to', 'composit', 'image', 'for', 'descriptor', '<', 'ISBindingImageDescriptor', ':', '<*>', '>', '.']",{},-[ISGenerateImageOp generateImageWithCompletion:] Failed to composit image for descriptor <ISBindingImageDescriptor: 0x7f9950712080>.,mac
Error returned from iconservicesagent: (null),"['Error', 'returned', 'from', 'iconservicesagent', ':', '(', 'null', ')']",{},Error returned from iconservicesagent: (null),mac
tcp_connection_tls_session_error_callback_imp <*> __tcp_connection_tls_session_callback_write_block_invoke.434 error <*>,"['tcp_connection_tls_session_error_callback_imp', '<*>', '__tcp_connection_tls_session_callback_write_block_invoke.434', 'error', '<*>']","{1: 'Object::ValueExpression', 4: 'Other::ClosedSet'}",tcp_connection_tls_session_error_callback_imp 1977 __tcp_connection_tls_session_callback_write_block_invoke.434 error 22,mac
"SecOSStatusWith error:[<*>] Error Domain=NSOSStatusErrorDomain Code=<*> ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}","['SecOSStatusWith', 'error', ':', '[', '<*>', ']', 'Error', 'Domain', '=', 'NSOSStatusErrorDomain', 'Code', '=', '<*>', '""', 'query', 'missing', 'class', 'name', '""', '(', 'paramErr', ':', 'error', 'in', 'user', 'parameter', 'list', ')', 'UserInfo', '=', '{', 'NSDescription', '=', 'query', 'missing', 'class', 'name', '}']","{4: 'Other::ClosedSet', 12: 'Other::ClosedSet'}","SecOSStatusWith error:[-50] Error Domain=NSOSStatusErrorDomain Code=-50 ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}",mac
send_datagram_available_ping: pid <*> failed to act on a ping it dequeued before timing out.,"['send_datagram_available_ping', ':', 'pid', '<*>', 'failed', 'to', 'act', 'on', 'a', 'ping', 'it', 'dequeued', 'before', 'timing', 'out.']",{3: 'Object::Process'},send_datagram_available_ping: pid 445 failed to act on a ping it dequeued before timing out.,mac
WARNING: Type1 font data isn't in the correct format required by the Adobe Type 1 Font Format specification.,"['WARNING', ':', 'Type1', 'font', 'data', 'isn', ""'"", 't', 'in', 'the', 'correct', 'format', 'required', 'by', 'the', 'Adobe', 'Type', '1', 'Font', 'Format', 'specification.']",{},WARNING: Type1 font data isn't in the correct format required by the Adobe Type 1 Font Format specification.,mac
"device_generate_desktop_screenshot: authw <*>(<*>), shield <*>(<*>)","['device_generate_desktop_screenshot', ':', 'authw', '<*>', '(', '<*>', ')', ',', 'shield', '<*>', '(', '<*>', ')']",{},"device_generate_desktop_screenshot: authw 0x7fa823c89600(2000), shield 0x7fa8258cac00(2001)",mac
[com.apple.calendar.store.log.caldav.coredav] [Refusing to parse response to PROPPATCH because of content-type: [text/html; charset=UTF-8].],"['[', 'com.apple.calendar.store.log.caldav.coredav', ']', '[', 'Refusing', 'to', 'parse', 'response', 'to', 'PROPPATCH', 'because', 'of', 'content-type', ':', '[', 'text/html', ';', 'charset', '=', 'UTF-8', ']', '.', ']']",{},[com.apple.calendar.store.log.caldav.coredav] [Refusing to parse response to PROPPATCH because of content-type: [text/html; charset=UTF-8].],mac
"NETWORK: requery, <*>, <*>, <*>, <*>, <*>, items, fQueryRetries, <*>, fLastRetryTimestamp, <*>","['NETWORK', ':', 'requery', ',', '<*>', ',', '<*>', ',', '<*>', ',', '<*>', ',', '<*>', ',', 'items', ',', 'fQueryRetries', ',', '<*>', ',', 'fLastRetryTimestamp', ',', '<*>']","{4: 'Object::ValueExpression', 6: 'Object::ValueExpression', 8: 'Object::ValueExpression', 10: 'Object::ValueExpression', 12: 'Object::ValueExpression', 18: 'Object::ValueExpression', 22: 'Object::ValueExpression'}","NETWORK: requery, 0, 0, 0, 0, 250, items, fQueryRetries, 0, fLastRetryTimestamp, 520665636.6",mac
Previous sleep cause: <*>,"['Previous', 'sleep', 'cause', ':', '<*>']",{4: 'Other::ClosedSet'},Previous sleep cause: 5,mac
Wake reason: <*> (<*>),"['Wake', 'reason', ':', '<*>', '(', '<*>', ')']","{3: 'Other::ClosedSet', 5: 'Other::ClosedSet'}",Wake reason: RTC (Alarm),mac
AppleThunderboltNHIType2::prePCIWake - power up complete - took <*> us,"['AppleThunderboltNHIType2', ':', ':', 'prePCIWake', '-', 'power', 'up', 'complete', '-', 'took', '<*>', 'us']",{10: 'Time::Duration'},AppleThunderboltNHIType2::prePCIWake - power up complete - took 2 us,mac
network changed: v4(<*>:<*>) v6(<*>:<*><*><*><*><*><*><*><*><*><*><*><*><*><*><*>) <*> <*> <*>,"['network', 'changed', ':', 'v4', '(', '<*>', ':', '<*>', ')', 'v6', '(', '<*>', ':', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', ')', '<*>', '<*>', '<*>']","{5: 'Object::ComputingResource', 7: 'Location::IP-Port::IP', 11: 'Object::ComputingResource', 13: 'Location::IP-Port::IP', 14: 'Location::IP-Port::IP', 15: 'Location::IP-Port::IP', 16: 'Location::IP-Port::IP', 17: 'Location::IP-Port::IP', 18: 'Location::IP-Port::IP', 19: 'Location::IP-Port::IP', 20: 'Location::IP-Port::IP', 21: 'Location::IP-Port::IP', 22: 'Location::IP-Port::IP', 23: 'Location::IP-Port::IP', 24: 'Location::IP-Port::IP', 25: 'Location::IP-Port::IP', 26: 'Location::IP-Port::IP', 27: 'Location::IP-Port::IP', 29: 'Other::ClosedSet', 31: 'Other::ClosedSet'}",network changed: v4(en0-:10.105.163.202) v6(en0:2607:f140:6000:8:c6b3:1ff:fecd:467f) DNS! Proxy SMB,mac
hibernate_page_list_setall found pageCount <*>,"['hibernate_page_list_setall', 'found', 'pageCount', '<*>']",{3: 'Object::ValueExpression'},hibernate_page_list_setall found pageCount 448015,mac
[HID] [ATC] [Error] AppleDeviceManagementHIDEventService::start Could not make a string from out connection notification key,"['[', 'HID', ']', '[', 'ATC', ']', '[', 'Error', ']', 'AppleDeviceManagementHIDEventService', ':', ':', 'start', 'Could', 'not', 'make', 'a', 'string', 'from', 'out', 'connection', 'notification', 'key']",{},[HID] [ATC] [Error] AppleDeviceManagementHIDEventService::start Could not make a string from out connection notification key,mac
[IOBluetoothFamily][staticBluetoothTransportShowsUp] -- Received Bluetooth Controller register service notification -- <*>,"['[', 'IOBluetoothFamily', ']', '[', 'staticBluetoothTransportShowsUp', ']', '--', 'Received', 'Bluetooth', 'Controller', 'register', 'service', 'notification', '--', '<*>']",{14: 'Object::ValueExpression'},[IOBluetoothFamily][staticBluetoothTransportShowsUp] -- Received Bluetooth Controller register service notification -- 0x7000,mac
nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from <*> to <*>,"['nw_nat64_post_new_ifstate', 'successfully', 'changed', 'NAT64', 'ifstate', 'from', '<*>', 'to', '<*>']","{6: 'Object::ValueExpression', 8: 'Object::ValueExpression'}",nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x8000000000000000 to 0x4,mac
"2017-07-02 10:40:07.676 GoogleSoftwareUpdateAgent[32012/0x7000002a0000] [lvl=2] -[KSAgentApp updateProductWithProductID:usingEngine:] Checking for updates for ""com.google.Keystone"" using engine <KSUpdateEngine:0x100313e70 ticketStore=<KSPersistentTicketStore:0x100332a60 store=<KSKeyedPersistentStore:0x100315fa0 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore"" lockFile=<KSLockFile:0x1003176d0 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore.lock"" locked=NO > >> processor=<KSActionProcessor:0x1003143e0 delegate=<KSUpdateEngine:0x100313e70> isProcessing=NO actionsCompleted=0 progress=0.00 errors=0 currentActionErrors=0 events=0 currentActionEvents=0 actionQueue=( ) > delegate=(null) serverInfoStore=<KSServerPrivateInfoStore:0x100311a10 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/Servers""> errors=0 >","['2017-07-02', '10', ':', '40', ':', '07.676', 'GoogleSoftwareUpdateAgent', '[', '32012/0x7000002a0000', ']', '[', 'lvl', '=', '2', ']', '-', '[', 'KSAgentApp', 'updateProductWithProductID', ':', 'usingEngine', ':', ']', 'Checking', 'for', 'updates', 'for', '""', 'com.google.Keystone', '""', 'using', 'engine', '<', 'KSUpdateEngine', ':', '0x100313e70', 'ticketStore', '=', '<', 'KSPersistentTicketStore', ':', '0x100332a60', 'store', '=', '<', 'KSKeyedPersistentStore', ':', '0x100315fa0', 'path', '=', '""', '/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore', '""', 'lockFile', '=', '<', 'KSLockFile', ':', '0x1003176d0', 'path', '=', '""', '/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore.lock', '""', 'locked', '=', 'NO', '>', '>', '>', 'processor', '=', '<', 'KSActionProcessor', ':', '0x1003143e0', 'delegate', '=', '<', 'KSUpdateEngine', ':', '0x100313e70', '>', 'isProcessing', '=', 'NO', 'actionsCompleted', '=', '0', 'progress', '=', '0.00', 'errors', '=', '0', 'currentActionErrors', '=', '0', 'events', '=', '0', 'currentActionEvents', '=', '0', 'actionQueue', '=', '(', ')', '>', 'delegate', '=', '(', 'null', ')', 'serverInfoStore', '=', '<', 'KSServerPrivateInfoStore', ':', '0x100311a10', 'path', '=', '""', '/Users/xpc/Library/Google/GoogleSoftwareUpdate/Servers', '""', '>', 'errors', '=', '0', '>']",{},"2017-07-02 10:40:07.676 GoogleSoftwareUpdateAgent[32012/0x7000002a0000] [lvl=2] -[KSAgentApp updateProductWithProductID:usingEngine:] Checking for updates for ""com.google.Keystone"" using engine <KSUpdateEngine:0x100313e70 ticketStore=<KSPersistentTicketStore:0x100332a60 store=<KSKeyedPersistentStore:0x100315fa0 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore"" lockFile=<KSLockFile:0x1003176d0 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore.lock"" locked=NO > >> processor=<KSActionProcessor:0x1003143e0 delegate=<KSUpdateEngine:0x100313e70> isProcessing=NO actionsCompleted=0 progress=0.00 errors=0 currentActionErrors=0 events=0 currentActionEvents=0 actionQueue=( ) > delegate=(null) serverInfoStore=<KSServerPrivateInfoStore:0x100311a10 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/Servers""> errors=0 >",mac
<*> <*>:<*>:<*> | I | VoipWrapper  | DAVEngineImpl.cpp:1400:Close             | close video chat. llFriendUIN = <*>,"['<*>', '<*>', ':', '<*>', ':', '<*>', '|', 'I', '|', 'VoipWrapper', '|', 'DAVEngineImpl.cpp', ':', '1400', ':', 'Close', '|', 'close', 'video', 'chat', '.', 'llFriendUIN', '=', '<*>']","{0: 'Time::Timestamp', 1: 'Time::Timestamp', 3: 'Time::Timestamp', 5: 'Time::Timestamp'}",2017/07/02 11:38:49.414 | I | VoipWrapper  | DAVEngineImpl.cpp:1400:Close             | close video chat. llFriendUIN = ******2341.,mac
Bluetooth -- LE is supported - Disable LE meta event,"['Bluetooth', '--', 'LE', 'is', 'supported', '-', 'Disable', 'LE', 'meta', 'event']",{},Bluetooth -- LE is supported - Disable LE meta event,mac
tcp_connection_handle_connect_conditions_bad 19617 failed: 3 - No network route,"['tcp_connection_handle_connect_conditions_bad', '19617', 'failed', ':', '3', '-', 'No', 'network', 'route']",{},tcp_connection_handle_connect_conditions_bad 19617 failed: 3 - No network route,mac
ARPT: <*>: <*>: setup_keepalive: Local IP: <*>,"['ARPT', ':', '<*>', ':', '<*>', ':', 'setup_keepalive', ':', 'Local', 'IP', ':', '<*>']","{2: 'Object::ValueExpression', 4: 'Object::ComputingResource', 11: 'Location::IP-Port::IP'}",ARPT: 645957.322055: wl0: setup_keepalive: Local IP: 10.105.163.202,mac
